"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Quadrat_Number","Latin_Name","TaxonCode","TSN","Height","Browsable","Browsed"
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-286","FRSP","FRSP_CHWILD","CHWILD","3",4,"MIDN","2018",20180912,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-004","APCO","APCO",NA,NA,1,"MIDN","2019",20190731,"CC","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-071","APCO","APCO",NA,"2",1,"MIDN","2011",20110808,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-071","APCO","APCO",NA,"2",1,"MIDN","2011",20110808,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-202","FRSP","FRSP_FRED","FRED","2",3,"MIDN","2013",20130819,"A2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-235","FRSP","FRSP_CHWILD","CHWILD","2",3,"MIDN","2013",20130820,"A5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-235","FRSP","FRSP_CHWILD","CHWILD","2",3,"MIDN","2013",20130820,"A5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-235","FRSP","FRSP_CHWILD","CHWILD","2",3,"MIDN","2013",20130820,"A5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"C5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"BOWA-006","BOWA","BOWA",NA,"2",1,"MIDN","2011",20110809,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"BOWA-006","BOWA","BOWA",NA,"2",1,"MIDN","2011",20110809,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-319","FRSP","FRSP_SPOT","SPOT","3",4,"MIDN","2018",20180820,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-289","FRSP","FRSP_CHWILD","CHWILD","3",4,"MIDN","2018",20180823,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-017","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150818,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-263","APCO","APCO",NA,"3",4,"MIDN","2018",20180808,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-263","APCO","APCO",NA,"3",4,"MIDN","2018",20180808,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-213","FRSP","FRSP_FRED","FRED","2",3,"MIDN","2013",20130819,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-213","FRSP","FRSP_FRED","FRED","2",3,"MIDN","2013",20130819,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"C8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"C8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-263","APCO","APCO",NA,"3",4,"MIDN","2018",20180808,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-312","FRSP","FRSP_SPOT","SPOT","3",4,"MIDN","2018",20180820,"C8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-222","FRSP","FRSP_SPOT","SPOT","2",3,"MIDN","2013",20130826,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-285","FRSP","FRSP_CHWILD","CHWILD","1",4,"MIDN","2010",20100830,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"CC","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"BB","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-315","FRSP","FRSP_SPOT","SPOT","3",4,"MIDN","2018",20180821,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-017","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150818,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-319","FRSP","FRSP_SPOT","SPOT","3",4,"MIDN","2018",20180820,"A2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-319","FRSP","FRSP_SPOT","SPOT","3",4,"MIDN","2018",20180820,"A2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-312","FRSP","FRSP_SPOT","SPOT","3",4,"MIDN","2018",20180820,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-312","FRSP","FRSP_SPOT","SPOT","3",4,"MIDN","2018",20180820,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-007","APCO","APCO",NA,"3",1,"MIDN","2015",20150804,"AA","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"C2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"C2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"C2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","2",4,"MIDN","2014",20140821,"A2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","3",4,"MIDN","2018",20180911,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-263","APCO","APCO",NA,"3",4,"MIDN","2018",20180808,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-263","APCO","APCO",NA,"3",4,"MIDN","2018",20180808,"B8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"GETT-356","GETT","GETT",NA,"3",2,"MIDN","2016",20160802,"B2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"A5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-312","FRSP","FRSP_SPOT","SPOT","3",4,"MIDN","2018",20180820,"A5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"APCO-263","APCO","APCO",NA,"3",4,"MIDN","2018",20180808,"A8","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"HOFU-248","HOFU","HOFU",NA,"3",4,"MIDN","2018",20180726,"C2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"HOFU-248","HOFU","HOFU",NA,"3",4,"MIDN","2018",20180726,"C2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-235","FRSP","FRSP_CHWILD","CHWILD","1",3,"MIDN","2009",20090910,"C5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"B5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"GETT-090","GETT","GETT",NA,"3",2,"MIDN","2016",20160803,"B2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"GETT-031","GETT","GETT",NA,"3",1,"MIDN","2015",20150730,"A5","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"BOWA-095","BOWA","BOWA",NA,"2",2,"MIDN","2012",20120813,"A5","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"BOWA-095","BOWA","BOWA",NA,"2",2,"MIDN","2012",20120813,"A5","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-154","RICH","RICH",NA,"2",2,"MIDN","2012",20120917,"B8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"APCO-012","APCO","APCO",NA,"3",1,"MIDN","2015",20150805,"A8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"COLO-345","COLO","COLO_YORK","Yorktown","2",2,"MIDN","2016",20160815,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-213","FRSP","FRSP_FRED","FRED","1",3,"MIDN","2009",20090824,"B2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-213","FRSP","FRSP_FRED","FRED","1",3,"MIDN","2009",20090824,"B2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-315","FRSP","FRSP_SPOT","SPOT","2",4,"MIDN","2014",20140818,"A2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-023","PETE","PETE_EAST","EAST","2",1,"MIDN","2011",20110816,"CC","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-043","FRSP","FRSP_CHWILD","CHWILD","2",1,"MIDN","2011",20110830,"C8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"COLO-338","COLO","COLO_YORK","Yorktown","3",1,"MIDN","2019",20190809,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-233","RICH","RICH",NA,"1",3,"MIDN","2009",20090916,"B2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"COLO-354","COLO","COLO_JAMES","Jamestown","2",2,"MIDN","2016",20160816,"AA","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"HOFU-051","HOFU","HOFU",NA,"2",1,"MIDN","2011",20110727,"C8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-044","FRSP","FRSP_CHWILD","CHWILD","2",1,"MIDN","2011",20110830,"B8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-289","FRSP","FRSP_CHWILD","CHWILD","3",4,"MIDN","2018",20180823,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"SAHI-237","SAHI","SAHI",NA,"1",3,"MIDN","2009",20090924,"C8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-192","PETE","PETE_EAST","EAST","2",3,"MIDN","2013",20130909,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"GETT-029","GETT","GETT",NA,"3",1,"MIDN","2015",20150728,"A8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"BOWA-006","BOWA","BOWA",NA,"3",1,"MIDN","2015",20150803,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"APCO-176","APCO","APCO",NA,"2",3,"MIDN","2013",20130805,"CC","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-189","PETE","PETE_EAST","EAST","3",3,"MIDN","2017",20170814,"A2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-193","PETE","PETE_FIVE","FIVE","3",3,"MIDN","2017",20170816,"A8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-193","PETE","PETE_FIVE","FIVE","3",3,"MIDN","2017",20170816,"A8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-193","PETE","PETE_FIVE","FIVE","3",3,"MIDN","2017",20170816,"A8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-193","PETE","PETE_FIVE","FIVE","3",3,"MIDN","2017",20170816,"A8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"GETT-031","GETT","GETT",NA,"3",1,"MIDN","2015",20150730,"CC","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"GETT-031","GETT","GETT",NA,"3",1,"MIDN","2015",20150730,"CC","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-061","FRSP","FRSP_CHWILD","CHWILD","2",1,"MIDN","2011",20110831,"C5","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-153","RICH","RICH",NA,"3",2,"MIDN","2016",20160824,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-067","PETE","PETE_FIVE","FIVE","3",1,"MIDN","2015",20150831,"B2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-311","RICH","RICH",NA,"2",4,"MIDN","2014",20140903,"C2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-311","RICH","RICH",NA,"3",4,"MIDN","2018",20180906,"C2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-233","RICH","RICH",NA,"1",3,"MIDN","2009",20090916,"B5","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-304","RICH","RICH",NA,"3",4,"MIDN","2018",20180906,"A2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-104","PETE","PETE_FIVE","FIVE","2",2,"MIDN","2012",20120911,"B8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"HOFU-249","HOFU","HOFU",NA,"3",4,"MIDN","2018",20180726,"A5","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"HOFU-248","HOFU","HOFU",NA,"3",4,"MIDN","2018",20180726,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"HOFU-248","HOFU","HOFU",NA,"3",4,"MIDN","2018",20180726,"B8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"HOFU-248","HOFU","HOFU",NA,"3",4,"MIDN","2018",20180726,"B8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"BOWA-095","BOWA","BOWA",NA,"3",2,"MIDN","2016",20160809,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-068","PETE","PETE_FIVE","FIVE",NA,1,"MIDN","2019",20190814,"B5","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-189","PETE","PETE_EAST","EAST","3",3,"MIDN","2017",20170814,"AA","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"HOFU-251","HOFU","HOFU",NA,"3",4,"MIDN","2018",20180726,"A8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-209","FRSP","FRSP_CHWILD","CHWILD","1",3,"MIDN","2009",20090827,"A5","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-194","PETE","PETE_FIVE","FIVE","1",3,"MIDN","2009",20090819,"A2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-194","PETE","PETE_FIVE","FIVE","1",3,"MIDN","2009",20090819,"A2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-288","FRSP","FRSP_CHWILD","CHWILD","3",4,"MIDN","2018",20180911,"BB","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-147","FRSP","FRSP_CHWILD","CHWILD","2",2,"MIDN","2012",20120830,"C8","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-289","FRSP","FRSP_CHWILD","CHWILD","3",4,"MIDN","2018",20180823,"CC","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-198","PETE","PETE_EAST","EAST","3",3,"MIDN","2017",20170815,"C2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"BOWA-261","BOWA","BOWA",NA,"3",4,"MIDN","2018",20180806,"C2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"FRSP-147","FRSP","FRSP_CHWILD","CHWILD","2",2,"MIDN","2012",20120830,"AA","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-020","RICH","RICH",NA,"2",1,"MIDN","2011",20110921,"CC","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"RICH-230","RICH","RICH",NA,"2",3,"MIDN","2013",20130905,"AA","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"APCO-178","APCO","APCO",NA,"2",3,"MIDN","2013",20130806,"AA","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"APCO-178","APCO","APCO",NA,"2",3,"MIDN","2013",20130806,"AA","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
"PETE-190","PETE","PETE_EAST","EAST","2",3,"MIDN","2013",20130909,"A2","Quercus (Red group)",NA,-9999999947,22.5,NA,NA
