Plot_Name,Unit_Code,Unit_Group,Subunit_Code,Panel,Frame,GRTS_Order,Location_Status,Location_Notes,Event_Count,Event_Earliest,Event_Latest,Slope,Aspect,UTM_18N_NAD83_X,UTM_18N_NAD83_Y,Latitude,Longitude
CHOH-0075,CHOH,CUMB,na,4,Region,726,Active,No saplings in any microplot at set-up. Plot sits on a huge log jam. Chaining pins remain in place to aid the inventory crew to find points amid the debris. Trees tagged on downriver side to minimize flood damage.,3,20090810,20170911,0,N/A,238250,4393250,39.6490052,-78.0506016
CHOH-0102,CHOH,CUMB,na,1,Region,183,Active,No saplings in microplot 300 at setup,4,20061003,20180731,0,N/A,239000,4392500,39.6424861,-78.0415763
CHOH-0239,CHOH,WILL,na,1,Region,195,Active,,4,20061003,20180720,0,N/A,249000,4389250,39.6162326,-77.9239539
CHOH-0247,CHOH,WILL,na,3,Region,466,Active,,3,20080821,20160623,31,230,245750,4389000,39.6130244,-77.9616707
CHOH-0256,CHOH,CUMB,na,3,Region,594,Active,,3,20080826,20160714,11,110,179250,4388750,39.5884679,-78.7347998
CHOH-0262,CHOH,WILL,na,1,Region,188,Active,,4,20061003,20180718,14,305,245500,4388750,39.6107006,-77.9644832
CHOH-0265,CHOH,WILL,na,4,Region,744,Active,No saplings in microplot 300 at setup.,3,20090915,20170816,6,190,246250,4388750,39.6109231,-77.9557579
CHOH-0269,CHOH,WILL,na,4,Region,739,Active,No saplings in microplots 60 & 180 at setup.,3,20090915,20170815,10,34,247250,4388750,39.6112187,-77.9441241
CHOH-0271,CHOH,WILL,na,4,Region,747,Active,Juniper at 220 degrees painted by mistake. Ignore it. It is outside of plot.,3,20090924,20170811,7,350,249000,4388750,39.6117333,-77.9237645
CHOH-0281,CHOH,CUMB,na,2,Region,321,Active,,4,20070815,20190822,8,20,206750,4388500,39.5960666,-78.4150395
CHOH-0380,CHOH,WILL,na,3,Region,453,Active,"A tree was marked at 108 degrees by mistake, it is out of the plot",3,20080811,20160715,0,N/A,244000,4387750,39.6012554,-77.9815471
CHOH-0403,CHOH,WILL,na,3,Region,461,Active,No trees or shrubs in microplots 60 and 300 at time of setup.,3,20080911,20160616,11,360,247000,4387500,39.5998968,-77.9465554
CHOH-0440,CHOH,WILL,na,1,Region,173,Active,"Thorny shrubs cover most of plot, no saplings in subplot 180 at startup",4,20060927,20180712,7,242,247500,4387000,39.595545,-77.9405489
CHOH-0443,CHOH,CUMB,na,1,Region,53,Active,0 degree pin in in small stream that cuts through edge of plot,4,20060808,20180823,14,39,202750,4386750,39.5789495,-78.4607581
CHOH-0488,CHOH,CUMB,na,4,Region,798,Active,,3,20090821,20170830,38,133,203000,4385250,39.565545,-78.4571815
CHOH-0489,CHOH,CUMB,na,2,Region,230,Active,No saplings on micorplot 60 at setup,4,20070815,20190822,27,199,203250,4385250,39.5656315,-78.4542764
CHOH-0539,CHOH,CUMB,na,1,Region,60,Active,No trees in subplots 180 and 300 at setup,4,20060807,20180824,25,240,183500,4384000,39.547336,-78.6831461
CHOH-0577,CHOH,CUMB,na,1,Region,65,Active,PLOT SETUP ERROR RESULTED IN AZIMUTH VALUES THAT ARE APPX 44 DEGREES OFF OF TRUE VALUE.  Chestnut Oak at true azimuth of 124 and distance 14m was apparently missed during first sampling.,4,20060808,20180823,55,124,202250,4383500,39.5495457,-78.4651126
CHOH-0586,CHOH,CUMB,na,3,Region,601,Active,,3,20080827,20160714,32,190,185000,4383250,39.5411434,-78.6653688
CHOH-0679,CHOH,CUMB,na,2,Region,245,Active,No saplings or shurbs on microplot 300 at setup,4,20070816,20190823,13,65,202250,4382500,39.5405517,-78.4646648
CHOH-0684,CHOH,CUMB,na,4,Region,783,Active,No saplings in microplot 300 at setup.,3,20090820,20170829,3,112,203500,4382500,39.5409841,-78.4501444
CHOH-0741,CHOH,CUMB,na,4,Region,806,Active,,3,20090820,20170829,6,115,202250,4381000,39.5270606,-78.4639934
CHOH-0775,CHOH,WILL,na,2,Region,398,Active,No shrub or saplings in microplots 60 and 300 at setup.,4,20070807,20190521,7,45,255500,4379000,39.5258699,-77.8445477
CHOH-0776,CHOH,WILL,na,1,Region,120,Active,"120 stake near old wire fence, subplot 300 had no saplings at setup",4,20060720,20180815,15,113,255500,4378750,39.5236201,-77.8444559
CHOH-0788,CHOH,WILL,na,1,Region,116,Active,No saplings on subplot 300,4,20060712,20180921,6,162,255250,4378250,39.5190492,-77.847177
CHOH-0847,CHOH,WILL,na,4,Region,660,Active,,3,20090626,20170707,0,N/A,259750,4373000,39.4730699,-77.7929945
CHOH-0921,CHOH,WILL,na,4,Region,752,Active,No saplings in microplot 180 at setup.,3,20090914,20170818,5,180,263500,4362250,39.3773551,-77.7456446
CHOH-0932,CHOH,WILL,na,2,Region,219,Active,,4,20070725,20190702,32,113,264000,4361250,39.3684914,-77.7394941
CHOH-0941,CHOH,WILL,na,3,Region,470,Active,,3,20080709,20160705,37,350,263250,4358750,39.3457852,-77.7473086
CHOH-0942,CHOH,WILL,na,1,Region,201,Active,,4,20061012,20180809,15,305,263500,4358750,39.3458536,-77.7444106
CHOH-0958,CHOH,WILL,na,3,Region,489,Active,,3,20080708,20160628,28,349,263500,4358000,39.3391032,-77.7441464
CHOH-0961,CHOH,WILL,na,3,Region,544,Active,"60 degree stake is in a muddy area, many of the trees are painted so they face away from the tow path, not toward plot center, No shrubs or saplings in microplot 300 at setup",3,20080730,20160705,0,N/A,263000,4357750,39.3367162,-77.7498535
CHOH-0964,CHOH,WILL,na,3,Region,558,Active,No trees or shrubs in microplot 60 at time of setup,3,20080708,20160628,7,115,263750,4357750,39.3369214,-77.7411608
CHOH-0983,CHOH,BRUN,na,1,Region,5,Active,,4,20060731,20180905,2,210,270750,4355500,39.3185528,-77.6592567
CHOH-0986,CHOH,BRUN,na,2,Region,274,Active,,4,20070710,20190607,4,181,271500,4355250,39.3165009,-77.6504806
CHOH-0989,CHOH,BRUN,na,2,Region,218,Active,,4,20070710,20190607,0,N/A,272750,4354750,39.3123293,-77.6358266
CHOH-1009,CHOH,BRUN,na,4,Region,743,Active,,3,20090807,20170630,8,31,279500,4353500,39.3028228,-77.5571991
CHOH-1018,CHOH,BRUN,na,1,Region,203,Active,,4,20061012,20180716,35,254,280250,4351250,39.2827591,-77.5477745
CHOH-1028,CHOH,BRUN,na,3,Region,465,Active,No saplings or shurbs in microplot 180 at setup,3,20080725,20160721,20,210,281250,4350000,39.2717595,-77.5357853
CHOH-1036,CHOH,BRUN,na,4,Region,677,Active,No saplings at 60 degree microplot at setup.,3,20090708,20170628,0,N/A,284250,4348250,39.2567573,-77.5004798
CHOH-1044,CHOH,BRUN,na,4,Region,682,Active,,3,20090708,20170628,0,N/A,286250,4347000,39.2459994,-77.4769246
CHOH-1045,CHOH,BRUN,na,1,Region,141,Active,"Very few trees, a thick stand of saplings, Due to dense vegetation the setup tree locations are approximiate, not exact.  Due to error, 2 rebars were placed at center of suplot 300, the one sticking out of the ground is the correct one.",4,20060630,20180726,6,49,286500,4347000,39.246061,-77.4740301
CHOH-1055,CHOH,BRUN,na,1,Region,138,Active,No saplings in subplot 180 at setup,4,20060724,20180719,0,N/A,287000,4346250,39.2394319,-77.4680044
CHOH-1063,CHOH,BRUN,na,1,Region,124,Active,Subplots 60 and 180 have no saplings at setup; During 2007 Plot review a tree was fonud at 19 degrees and 10.2m that should have been sampled in Panel 1. This will need to be added when plot is resampled.  DBH in Dec 2007 (1 yr after plot was sampled) was,4,20060724,20180726,0,N/A,287500,4345750,39.2350532,-77.4620585
CHOH-1081,CHOH,BRUN,na,2,Region,418,Active,,4,20070806,20190531,2,195,288250,4344250,39.2217324,-77.4529059
CHOH-1111,CHOH,BRUN,na,2,Region,415,Active,No shrubs or saplings in subplot 300 at setup,4,20070730,20190703,6,280,285750,4340000,39.1828582,-77.4804938
CHOH-1124,CHOH,BRUN,na,3,Region,432,Active,,3,20080721,20160711,12,333,284750,4339250,39.1758593,-77.4918227
CHOH-1136,CHOH,BRUN,na,2,Region,407,Active,,4,20070724,20190515,25,235,284500,4338750,39.1712961,-77.4945551
CHOH-1143,CHOH,BRUN,na,2,Region,403,Active,,4,20070724,20190515,12,213,285000,4338500,39.1691692,-77.488693
CHOH-1147,CHOH,BRUN,na,1,Region,828,Active,Installed in 2010 as replacement for retired NACE-0490.  No saplings in microplot 60 at plot setup.,3,20100817,20180703,20,300,282500,4337750,39.161796,-77.5173645
CHOH-1148,CHOH,BRUN,na,2,Region,250,Active,,4,20070703,20190606,3,125,282500,4337500,39.1595454,-77.5172842
CHOH-1173,CHOH,BRUN,na,2,Region,836,Active,Added as replacement plot in 2011,3,20110819,20190610,0,N/A,283750,4333000,39.1193455,-77.5013951
CHOH-1183,CHOH,BRUN,na,1,Region,31,Active,No saplings in subplots 60 and 180,4,20060725,20180612,0,N/A,284750,4332500,39.1150918,-77.4896797
CHOH-1191,CHOH,BRUN,na,1,Region,21,Active,,4,20060725,20180628,0,N/A,285500,4332250,39.113026,-77.4809335
CHOH-1196,CHOH,BRUN,na,3,Region,560,Active,,3,20080701,20160524,0,N/A,285750,4332000,39.1108368,-77.4779656
CHOH-1201,CHOH,BRUN,na,1,Region,11,Active,"No trees in Subplots 60 or 300 at setup. During 2007 Plot Review a tree was found at 221 degrees and 3.75m.  It will need to be added when plot is resampled.  It was a Fraxinus americana with 3 vines.  Crown class, overtopped.",4,20060725,20180730,14,287,286250,4331750,39.1087088,-77.4721091
CHOH-1265,CHOH,BRUN,na,4,Region,812,Active,,3,20090720,20170720,6,189,298750,4326750,39.0666653,-77.326176
CHOH-1328,CHOH,POGO,na,1,Region,100,Active,,4,20060815,20180904,14,300,306250,4321000,39.0165867,-77.2379143
CHOH-1338,CHOH,POGO,na,1,Region,105,Active,"240 degree marker is nearly horizontal in soil covering a granite surface, no saplings on micorplot 300 at setup",4,20060814,20181012,16,195,306500,4317000,38.9806241,-77.2338954
CHOH-1342,CHOH,POGO,na,1,Region,167,Active,,4,20060922,20180926,0,N/A,307500,4316500,38.9763422,-77.222218
CHOH-1350,CHOH,POGO,na,3,Region,439,Active,,3,20080619,20160516,21,175,308000,4316250,38.9742008,-77.2163798
CHOH-1366,CHOH,POGO,na,4,Region,714,Active,,3,20090724,20170823,14,210,311750,4315750,38.9705123,-77.1729828
CHOH-1388,CHOH,POGO,na,3,Region,451,Active,,3,20080815,20160425,0,N/A,317000,4310750,38.9265983,-77.1110841
GWMP-0003,CHOH,POGO,na,4,Region,657,Active,,3,20090709,20170505,5,324,306000,4320500,39.0120291,-77.2406578
GWMP-0008,GWMP,POGO,GRFA,2,Region,291,Active,,4,20070718,20190807,15,160,304000,4319750,39.00483,-77.2635252
GWMP-0019,GWMP,POGO,GRFA,2,Region,282,Active,,4,20070709,20190425,21,285,304500,4319000,38.9981886,-77.2575404
GWMP-0045,CHOH,POGO,GOMI,2,Region,371,Active,,4,20070607,20190417,16,311,306500,4318250,38.9918797,-77.2342493
GWMP-0054,CHOH,POGO,GOMI,2,Region,383,Active,,4,20070612,20190503,24,281,306500,4318000,38.9896286,-77.2341785
GWMP-0055,CHOH,POGO,GOMI,2,Region,364,Active,,4,20070607,20190514,20,136,306750,4318000,38.9896838,-77.231294
GWMP-0057,GWMP,POGO,GRFA,2,Region,263,Active,,4,20070718,20190830,8,14,304500,4317750,38.9869332,-77.2571827
GWMP-0058,GWMP,POGO,GRFA,2,Region,290,Active,,4,20070705,20190830,19,165,304750,4317750,38.9869889,-77.2542983
GWMP-0059,GWMP,POGO,GRFA,2,Region,264,Active,,4,20070705,20190807,3,52,305000,4317750,38.9870447,-77.251414
GWMP-0062,CHOH,POGO,GOMI,1,Region,106,Active,Microplot 60 had no saplings at setup,4,20060810,20180904,22,153,306250,4317750,38.9873222,-77.2369921
GWMP-0072,CHOH,POGO,GOMI,2,Region,382,Active,,4,20070606,20190826,7,69,305750,4317500,38.9849603,-77.2426898
GWMP-0080,CHOH,POGO,GOMI,3,Region,444,Active,"Center plot is on top of rocks. Microplot 180 rebar is at 8m, measure at 10m. Transect 240 rebar is at 16m.",3,20080711,20160602,0,N/A,306000,4317250,38.9827646,-77.2397346
GWMP-0086,GWMP,POGO,GRFA,1,Region,171,Active,,4,20060922,20180531,19,289,305250,4317000,38.980347,-77.2483159
GWMP-0094,CHOH,POGO,na,1,Region,157,Active,Sampling crew reports that the plot markers were all at 14m rather than 15m,4,20060810,20180706,0,N/A,307500,4316750,38.9785933,-77.2222884
GWMP-0139,GWMP,POGO,TURU,3,Region,434,Active,,3,20080702,20160510,24,119,313750,4314750,38.9619347,-77.1496396
GWMP-0144,GWMP,POGO,TURU,4,Region,717,Active,,3,20090701,20170428,15,10,313500,4314500,38.9596303,-77.152455
GWMP-0145,GWMP,POGO,TURU,3,Region,455,Active,Transect 120 bisects a creek bed; rebar stake is located at 13m.,3,20080702,20160510,15,155,313750,4314500,38.9596835,-77.1495716
GWMP-0147,GWMP,POGO,TURU,4,Region,722,Active,,3,20090701,20170428,28,79,314250,4314500,38.9597896,-77.1438047
GWMP-0173,GWMP,POGO,na,3,Region,441,Active,No saplings/shrubs in microplot 180 at time of setup.,3,20080715,20160518,18,24,316500,4312500,38.9422531,-77.1173171
GWMP-0194,GWMP,POGO,na,4,Region,716,Active,,3,20090806,20170905,17,336,317500,4309250,38.9131943,-77.1049204
GWMP-0207,GWMP,TIDE,THIS,1,Region,113,Active,"Rebar at 120 is about 1m too far from center. Sampling crew could not find sapling #458, but did find an untagged sapling which they tagged as #330.",4,20060810,20180608,0,N/A,321000,4307500,38.8981552,-77.0641201
GWMP-0208,GWMP,TIDE,THIS,1,Region,104,Active,Boardwalk through swamp crosses this plot and overlaps subplots 180 and 300. Subplot 180 had no saplings at setup.,4,20060711,20180608,0,N/A,321250,4307500,38.8982061,-77.061239
GWMP-0253,GWMP,TIDE,na,2,Region,354,Active,,4,20070924,20190510,0,N/A,323000,4300000,38.8310167,-77.0391399
GWMP-0254,GWMP,TIDE,na,2,Region,347,Active,Very brushy!!!,4,20070918,20190520,0,N/A,322750,4299750,38.8287149,-77.041954
GWMP-0256,GWMP,TIDE,na,2,Region,349,Active,Very brushy!!!,4,20070918,20190520,3,281,322750,4299500,38.8264635,-77.0418897
GWMP-0286,GWMP,TIDE,na,3,Region,539,Active,,3,20081002,20160811,0,N/A,321750,4292750,38.7654719,-77.0516584
GWMP-0314,GWMP,TIDE,na,1,Region,34,Active,,4,20060627,20180423,6,111,319000,4287500,38.7176317,-77.0819177
GWMP-0320,GWMP,TIDE,na,3,Region,583,Active,,3,20080718,20160513,32,93,319500,4287250,38.7154825,-77.0761049
HAFE-0005,HAFE,MAHE,na,4,Region,736,Active,No saplings in 300 degree microplot at setup,3,20090825,20170824,26,328,265000,4358250,39.3417623,-77.7268477
HAFE-0009,HAFE,MAHE,na,3,Region,480,Active,No shurbs or saplings in micropot 180 at setup,3,20080916,20160722,25,70,266000,4358250,39.3420335,-77.7152563
HAFE-0021,HAFE,MAHE,na,3,Region,490,Active,"Microplot 60 had no shrubs or saplings at setup, Center of microplot 60 is at about 10.4 m due to large rock",3,20080903,20160708,47,123,266000,4357750,39.3375331,-77.7150821
HAFE-0028,HAFE,MAHE,na,3,Region,551,Active,No saplings or shrubs in any microplot at setup,3,20080903,20160708,26,70,266000,4357500,39.335283,-77.714995
HAFE-0030,HAFE,BOHE,na,1,Region,197,Active,Subplots 180 and 300 overlap main trail,4,20061010,20180912,25,300,262250,4357250,39.3320102,-77.7583692
HAFE-0039,HAFE,MAHE,na,1,Region,196,Active,,4,20061011,20180907,37,130,265750,4357250,39.3329651,-77.7178054
HAFE-0047,HAFE,MAHE,na,4,Region,767,Active,0 degree stake at 15.5 meters to avoid bedrock obstruction.,3,20090914,20170427,45,180,264500,4357000,39.3303756,-77.7322051
HAFE-0061,HAFE,MAHE,na,1,Region,19,Active,No saplings at setup in any microplot,4,20060727,20181001,27,170,265250,4356750,39.3283292,-77.7234256
HAFE-0074,HAFE,MAHE,na,1,Region,3,Active,No saplings in any microplot at setup.,4,20060726,20180928,47,148,265750,4356500,39.3262146,-77.7175439
HAFE-0118,HAFE,LOHE,na,1,Region,193,Active,,4,20061005,20180919,28,82,265500,4355750,39.3193964,-77.7201794
HAFE-0154,HAFE,LOHE,na,1,Region,199,Active,,4,20061010,20180918,11,312,263500,4355250,39.3143519,-77.7431786
HAFE-0160,HAFE,SHHI,na,3,Region,532,Active,,3,20080813,20160706,13,298,267250,4355250,39.3153684,-77.6997276
HAFE-0161,HAFE,SHHI,na,4,Region,764,Active,No saplings in microplot 60 at setup. The 240 degree point at 15 meters is marked by blue paint. A stake is wedged in the rock crevice nearby to aid locating the point via a metal detector in case the paint mark is covered with leaves.,3,20090828,20170721,38,349,267500,4355250,39.3154356,-77.6968308
HAFE-0174,HAFE,LOHE,na,2,Region,273,Retired,,1,20070711,20070711,,,263250,4355000,39.3120334,-77.7459872
