"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Tag","TSN","TaxonCode","Latin_Name","Status","Habit","Browsed","Browsable","SaplingVigor","VigorClass"
"ANTI-0092","ANTI","ANTI","na",1.00,2,"Region",2007,"20070706",6144,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"ANTI-0092","ANTI","ANTI","na",1.00,2,"Region",2007,"20070706",6145,35253,130836,"Viburnum prunifolium","Alive Standing","Shrub","No","unk",,
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,"20110707",6145,35253,130836,"Viburnum prunifolium","Dead","Shrub",,,,
"ANTI-0092","ANTI","ANTI","na",2.00,2,"Region",2011,"20110707",6144,18147,88913,"Lindera benzoin","Dead","Shrub",,,,
"ANTI-0194","ANTI","ANTI","na",2.00,3,"Park",2012,"20120911",15810,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"ANTI-0194","ANTI","ANTI","na",2.00,3,"Park",2012,"20120911",15804,19033,102052,"Hamamelis virginiana","Alive Leaning","Shrub","Yes","Yes",,
"ANTI-0200","ANTI","ANTI","na",2.00,4,"Park",2013,"20130730",20092,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,"20140716",12236,18147,88913,"Lindera benzoin","Dead Fallen","Shrub",,,,
"ANTI-0201","ANTI","ANTI","na",3.00,1,"Park",2014,"20140716",12234,18147,88913,"Lindera benzoin","Missing - Presumed Dead","Shrub",,,,
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,"20100719",12234,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0201","ANTI","ANTI","na",2.00,1,"Park",2010,"20100719",12236,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"ANTI-0206","ANTI","ANTI","na",2.00,4,"Park",2013,"20130815",20801,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0207","ANTI","ANTI","na",2.00,2,"Region",2011,"20110912",5198,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0207","ANTI","ANTI","na",1.00,2,"Region",2007,"20070731",5198,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"ANTI-0207","ANTI","ANTI","na",1.00,2,"Region",2007,"20070731",5277,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"ANTI-0207","ANTI","ANTI","na",2.00,2,"Region",2011,"20110912",5277,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0207","ANTI","ANTI","na",1.00,2,"Region",2007,"20070731",5276,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"ANTI-0207","ANTI","ANTI","na",2.00,2,"Region",2011,"20110912",15673,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0207","ANTI","ANTI","na",2.00,2,"Region",2011,"20110912",5276,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0003","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6523,19033,102052,"Hamamelis virginiana","Alive Standing","Shrub","No","unk",,
"CATO-0003","CATO","CATO","na",3.00,2,"Region",2015,"20150804",6523,19033,102052,"Hamamelis virginiana","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0003","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6519,18147,88913,"Lindera benzoin","Downgraded to Non-Sampled","Shrub",,,,
"CATO-0003","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6522,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0003","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6520,19033,102052,"Hamamelis virginiana","Alive Standing","Shrub","No","No",,
"CATO-0003","CATO","CATO","na",4.00,2,"Region",2019,"20190905",25181,25298,120356,"Rhodotypos scandens","Alive Standing","Shrub","Yes","Yes",1,"Healthy"
"CATO-0003","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6521,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0003","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6601,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0003","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6520,19033,102052,"Hamamelis virginiana","Alive Standing","Shrub","No","unk",,
"CATO-0003","CATO","CATO","na",4.00,2,"Region",2019,"20190905",25182,25298,120356,"Rhodotypos scandens","Alive Standing","Shrub","No","Yes",1,"Healthy"
"CATO-0003","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6519,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0003","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6521,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0003","CATO","CATO","na",4.00,2,"Region",2019,"20190905",25183,25298,120356,"Rhodotypos scandens","Alive Leaning","Shrub","Yes","Yes",1,"Healthy"
"CATO-0003","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6522,18147,88913,"Lindera benzoin","Downgraded to Non-Sampled","Shrub",,,,
"CATO-0003","CATO","CATO","na",4.00,2,"Region",2019,"20190905",6523,19033,102052,"Hamamelis virginiana","Alive Leaning","Shrub","Yes","Yes",2,"Light Decline"
"CATO-0003","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6523,19033,102052,"Hamamelis virginiana","Alive Leaning","Shrub","No","Yes",,
"CATO-0003","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6601,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0003","CATO","CATO","na",4.00,2,"Region",2019,"20190905",6520,19033,102052,"Hamamelis virginiana","Alive Standing","Shrub","No","No",3,"Moderate Decline"
"CATO-0003","CATO","CATO","na",3.00,2,"Region",2015,"20150804",6520,19033,102052,"Hamamelis virginiana","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6484,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6501,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6494,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6481,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6476,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6489,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6491,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",15530,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",5968,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6502,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",15528,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6476,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6487,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6496,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6491,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",5970,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6493,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",5967,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6477,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6483,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",5968,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6478,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6475,18147,88913,"Lindera benzoin","Alive Broken","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6480,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",5970,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6493,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6500,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6494,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6484,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",5966,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6495,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",5966,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",15526,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",15524,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6479,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",5967,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6489,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6492,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6502,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6499,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6482,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",15527,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6497,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6483,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6498,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",15525,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6495,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6475,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",15523,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6500,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6485,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",5969,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6478,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6501,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6486,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6490,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6482,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6485,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6498,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6488,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6492,18147,88913,"Lindera benzoin","Dead","Shrub",,,,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6499,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6496,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6477,18147,88913,"Lindera benzoin","Dead","Shrub",,,,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6487,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",5969,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","unk",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6497,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",15529,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","No","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6486,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6490,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6480,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6481,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0004","CATO","CATO","na",2.00,2,"Region",2011,"20110815",6479,18147,88913,"Lindera benzoin","Dead","Shrub",,,,
"CATO-0004","CATO","CATO","na",1.00,2,"Region",2007,"20070904",6488,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12324,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",20604,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12325,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12321,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12324,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12328,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12320,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12323,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12319,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12329,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12322,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12326,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",20601,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",20605,18147,88913,"Lindera benzoin","Alive Standing","Shrub","No","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12323,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12326,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",20602,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12318,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12321,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12318,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",20606,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12325,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12319,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12328,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",1.00,4,"Region",2009,"20090917",12320,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","unk",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12329,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",12322,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",20600,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0015","CATO","CATO","na",2.00,4,"Region",2013,"20130719",20603,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9329,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","Yes",,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9337,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9340,18147,88913,"Lindera benzoin","Downgraded to Non-Sampled","Shrub",,,,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9362,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9334,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9359,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9349,18147,88913,"Lindera benzoin","Dead","Shrub",,,,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9350,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","No","unk",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9350,18147,88913,"Lindera benzoin","Dead","Shrub",,,,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9343,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9349,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9356,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9356,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9337,18147,88913,"Lindera benzoin","Downgraded to Non-Sampled","Shrub",,,,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9339,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9329,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9330,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9336,18147,88913,"Lindera benzoin","Missing","Shrub",,,,
"CATO-0016","CATO","CATO","na",1.00,3,"Region",2008,"20080812",9336,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","unk",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9339,18147,88913,"Lindera benzoin","Alive Leaning","Shrub","No","Yes",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9330,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
"CATO-0016","CATO","CATO","na",2.00,3,"Region",2012,"20120831",9343,18147,88913,"Lindera benzoin","Alive Standing","Shrub","Yes","Yes",,
