"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","TSN","Latin_Name","Tag_Status","Host_Tag","Host_Latin_Name","Host_Status","Condition","Exotic"
"NACE-0167","NACE","GREE","BAWA",3.00,4,"Region",2017,20170530,43346,"Smilax rotundifolia","Sapling",20203,"Viburnum prunifolium","Alive Standing",,0
"NACE-0167","NACE","GREE","BAWA",3.00,4,"Region",2017,20170530,28632,"Ampelopsis brevipedunculata","Sapling",20203,"Viburnum prunifolium","Alive Standing",,1
"PRWI-0456","PRWI","PRWI","na",3.00,4,"Region",2017,20170906,43346,"Smilax rotundifolia","Sapling",14568,"Quercus alba","Alive Standing","Vines in the crown",0
"PRWI-0466","PRWI","PRWI","na",3.00,3,"Region",2016,20160606,43346,"Smilax rotundifolia","Sapling",8633,"Nyssa sylvatica","Alive Standing","Vines in the crown",0
"CHOH-0271","CHOH","WILL","na",3.00,4,"Region",2017,20170811,506068,"Celastrus orbiculatus","Sapling",12050,"Ligustrum vulgare","Alive Standing","Vines in the crown",1
"ROCR-0121","ROCR","ROCR","na",3.00,3,"Region",2016,20160627,27023,"Wisteria sinensis","Sapling",16332,"Elaeagnus pungens","Alive Standing","Vines in the crown",1
"MANA-0060","MANA","MANA","na",4.00,1,"Region",2018,20180508,35283,"Lonicera japonica","Sapling",23082,"Elaeagnus umbellata","Alive Standing",,1
"NACE-0004","NACE","GREE","BAWA",4.00,1,"Region",2018,20180427,43346,"Smilax rotundifolia","Sapling",91,"Quercus alba","Alive Standing",,0
"NACE-0623","NACE","PISC","PISC",3.00,2,"Region",2015,20150512,43346,"Smilax rotundifolia","Sapling",15678,"Fagus grandifolia","Alive Standing",,0
"PRWI-0796","PRWI","PRWI","na",4.00,1,"Region",2018,20180629,43342,"Smilax glauca","Sapling",2278,"Fagus grandifolia","Alive Standing",,0
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",16928,"Quercus coccinea","Alive Standing","Vines in the crown",0
"PRWI-0069","PRWI","PRWI","na",3.00,3,"Region",2016,20160713,43346,"Smilax rotundifolia","Sapling",8767,"Fagus grandifolia","Alive Standing",,0
"PRWI-0120","PRWI","PRWI","na",4.00,2,"Region",2019,20190716,43346,"Smilax rotundifolia","Sapling",5973,"Vaccinium corymbosum","Alive Leaning","Vines in the crown",0
"PRWI-0120","PRWI","PRWI","na",4.00,2,"Region",2019,20190716,25390,"Apios americana","Sapling",5973,"Vaccinium corymbosum","Alive Leaning","Vines in the crown",0
"GWMP-0256","GWMP","TIDE","na",3.00,2,"Region",2015,20150515,35283,"Lonicera japonica","Tree",4446,"Celtis occidentalis","Alive Standing","Vines in the crown",1
"GWMP-0256","GWMP","TIDE","na",3.00,2,"Region",2015,20150515,29393,"Hedera helix","Tree",4446,"Celtis occidentalis","Alive Standing","Vines in the crown",1
"GWMP-0256","GWMP","TIDE","na",3.00,2,"Region",2015,20150515,28632,"Ampelopsis brevipedunculata","Tree",4446,"Celtis occidentalis","Alive Standing","Vines in the crown",1
"GWMP-0256","GWMP","TIDE","na",3.00,2,"Region",2015,20150515,27950,"Euonymus fortunei","Tree",4446,"Celtis occidentalis","Alive Standing","Vines in the crown",1
"GWMP-0256","GWMP","TIDE","na",3.00,2,"Region",2015,20150515,28610,"Vitis vulpina","Tree",4446,"Celtis occidentalis","Alive Standing","Vines in the crown",0
"PRWI-0276","PRWI","PRWI","na",4.00,1,"Region",2018,20180605,43346,"Smilax rotundifolia","Sapling",12538,"Acer rubrum","Alive Standing","Vines in the crown",0
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",16948,"Lyonia ligustrina","Alive Standing","Vines in the crown",0
"NACE-0087","NACE","GREE","GREE",4.00,1,"Region",2018,20180522,43346,"Smilax rotundifolia","Sapling",1449,"Liquidambar styraciflua","Alive Standing","Vines in the crown",0
"CHOH-0262","CHOH","WILL","na",4.00,1,"Region",2018,20180718,28610,"Vitis vulpina","Sapling",25769,"Asimina triloba","Alive Leaning",,0
"PRWI-0276","PRWI","PRWI","na",4.00,1,"Region",2018,20180605,43346,"Smilax rotundifolia","Sapling",12559,"Quercus coccinea","Alive Standing",,0
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",22407,"Quercus coccinea","Alive Standing","Vines in the crown",0
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",7260,"Vaccinium fuscatum","Alive Standing","Vines in the crown",0
"PRWI-0256","PRWI","PRWI","na",3.00,4,"Region",2017,20170605,43346,"Smilax rotundifolia","Sapling",9594,"Liquidambar styraciflua","Alive Standing","Vines in the crown",0
"CHOH-0679","CHOH","CUMB","na",4.00,2,"Region",2019,20190823,28602,"Parthenocissus quinquefolia","Sapling",6073,"Cornus florida","Alive Leaning","Vines in the crown",0
"NACE-0623","NACE","PISC","PISC",4.00,2,"Region",2019,20190522,43346,"Smilax rotundifolia","Sapling",8233,"Vaccinium corymbosum","Alive Standing","Vines in the crown",0
"NACE-0267","NACE","NACE","FODU",3.00,2,"Region",2015,20150520,506068,"Celastrus orbiculatus","Sapling",15659,"Carya cordiformis","Alive Standing","Vines in the crown",1
"NACE-0267","NACE","NACE","FODU",3.00,2,"Region",2015,20150520,35283,"Lonicera japonica","Sapling",15659,"Carya cordiformis","Alive Standing","Vines in the crown",1
"NACE-0267","NACE","NACE","FODU",3.00,2,"Region",2015,20150520,28610,"Vitis vulpina","Sapling",15659,"Carya cordiformis","Alive Standing","Vines in the crown",0
"PRWI-0707","PRWI","PRWI","na",3.00,4,"Region",2017,20170710,43346,"Smilax rotundifolia","Sapling",14996,"Vaccinium fuscatum","Alive Standing",,0
"PRWI-0333","PRWI","PRWI","na",4.00,1,"Region",2018,20180613,43346,"Smilax rotundifolia","Sapling",21164,"Quercus falcata","Alive Leaning","Vines in the crown",0
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,35283,"Lonicera japonica","Sapling",15941,"Ailanthus altissima","Alive Standing",,1
"PRWI-0333","PRWI","PRWI","na",4.00,1,"Region",2018,20180613,43346,"Smilax rotundifolia","Sapling",25639,"Quercus alba","Alive Standing",,0
"NACE-0296","NACE","NACE","FOCI",3.00,3,"Region",2016,20160603,504683,"Pueraria montana","Sapling",7420,"Lonicera maackii","Alive Leaning","Vines in the crown",1
"NACE-0296","NACE","NACE","FOCI",3.00,3,"Region",2016,20160603,35283,"Lonicera japonica","Sapling",7420,"Lonicera maackii","Alive Leaning","Vines in the crown",1
"PRWI-0120","PRWI","PRWI","na",4.00,2,"Region",2019,20190716,43346,"Smilax rotundifolia","Sapling",15464,"Quercus alba","Alive Standing",,0
"PRWI-0276","PRWI","PRWI","na",4.00,1,"Region",2018,20180605,43346,"Smilax rotundifolia","Sapling",21073,"Vaccinium fuscatum","Alive Standing",,0
"PRWI-0456","PRWI","PRWI","na",3.00,4,"Region",2017,20170906,43346,"Smilax rotundifolia","Sapling",14578,"Ilex opaca","Alive Standing","Vines in the crown",0
"NACE-0107","NACE","GREE","GREE",3.00,3,"Region",2016,20160502,43346,"Smilax rotundifolia","Sapling",7408,"Liquidambar styraciflua","Alive Standing","Vines in the crown",0
"NACE-0623","NACE","PISC","PISC",3.00,2,"Region",2015,20150512,43346,"Smilax rotundifolia","Sapling",8213,"Acer rubrum","Alive Standing","Vines in the crown",0
"PRWI-0409","PRWI","PRWI","na",3.00,3,"Region",2016,20160526,43346,"Smilax rotundifolia","Sapling",8787,"Fagus grandifolia","Alive Standing",,0
"NACE-0490","NACE","PISC","PISC",4.00,1,"Region",2018,20180517,28821,"Toxicodendron radicans","Sapling",23054,"Diospyros virginiana","Alive Standing",,0
"NACE-0468","NACE","PISC","PISC",4.00,1,"Region",2018,20180711,28615,"Vitis cinerea","Sapling",4219,"Fraxinus profunda","Alive Standing","Vines in the crown",0
"CATO-0302","CATO","CATO","na",3.00,3,"Region",2016,20160617,28607,"Vitis aestivalis","Sapling",7920,"Carya alba","Alive Standing","Vines in the crown",0
"CHOH-0440","CHOH","WILL","na",4.00,1,"Region",2018,20180712,24833,"Rosa multiflora","Sapling",12851,"Asimina triloba","Alive Standing","Vines in the crown",1
"CHOH-0440","CHOH","WILL","na",4.00,1,"Region",2018,20180712,28610,"Vitis vulpina","Sapling",12851,"Asimina triloba","Alive Standing","Vines in the crown",0
"CHOH-0443","CHOH","CUMB","na",4.00,1,"Region",2018,20180823,24833,"Rosa multiflora","Sapling",25228,"Asimina triloba","Alive Standing",,1
"GWMP-0286","GWMP","TIDE","na",3.00,3,"Region",2016,20160811,43346,"Smilax rotundifolia","Sapling",8973,"Diospyros virginiana","Alive Standing",,0
"GWMP-0286","GWMP","TIDE","na",3.00,3,"Region",2016,20160811,43346,"Smilax rotundifolia","Sapling",16346,"Viburnum recognitum","Alive Standing","Vines in the crown",0
"CHOH-0281","CHOH","CUMB","na",4.00,2,"Region",2019,20190822,35283,"Lonicera japonica","Sapling",25164,"Fraxinus americana","Alive Standing","Vines in the crown",1
"PRWI-0466","PRWI","PRWI","na",3.00,3,"Region",2016,20160606,43346,"Smilax rotundifolia","Sapling",8638,"Fagus grandifolia","Alive Leaning",,0
"CHOH-0847","CHOH","WILL","na",3.00,4,"Region",2017,20170707,35283,"Lonicera japonica","Sapling",14298,"Asimina triloba","Alive Standing","Vines in the crown",1
"CHOH-0265","CHOH","WILL","na",3.00,4,"Region",2017,20170816,24833,"Rosa multiflora","Sapling",20834,"Elaeagnus umbellata","Alive Standing",,1
"CHOH-0281","CHOH","CUMB","na",4.00,2,"Region",2019,20190822,35283,"Lonicera japonica","Sapling",15540,"Asimina triloba","Alive Standing",,1
"NACE-0296","NACE","NACE","FOCI",3.00,3,"Region",2016,20160603,504683,"Pueraria montana","Sapling",7412,"Ailanthus altissima","Alive Standing","Vines in the crown",1
"NACE-0296","NACE","NACE","FOCI",3.00,3,"Region",2016,20160603,29393,"Hedera helix","Sapling",7412,"Ailanthus altissima","Alive Standing","Vines in the crown",1
"CHOH-1148","CHOH","BRUN","na",3.00,2,"Region",2015,20150716,28610,"Vitis vulpina","Retired (In Office)",4367,"Acer saccharinum","Alive Standing","Vines in the crown",0
"NACE-0296","NACE","NACE","FOCI",3.00,3,"Region",2016,20160603,504683,"Pueraria montana","Sapling",7415,"Ulmus americana","Alive Leaning","Vines in the crown",1
"NACE-0296","NACE","NACE","FOCI",3.00,3,"Region",2016,20160603,35283,"Lonicera japonica","Sapling",7415,"Ulmus americana","Alive Leaning","Vines in the crown",1
"WOTR-0001","WOTR","WOTR","na",3.00,2,"Park",2015,20150529,35283,"Lonicera japonica","Sapling",15254,"Nyssa sylvatica","Alive Standing",,1
"GWMP-0253","GWMP","TIDE","na",4.00,2,"Region",2019,20190510,29393,"Hedera helix","Sapling",4419,"Ulmus americana","Alive Leaning","Vines in the crown",1
"GWMP-0253","GWMP","TIDE","na",4.00,2,"Region",2019,20190510,27020,"Wisteria floribunda","Sapling",4419,"Ulmus americana","Alive Leaning","Vines in the crown",1
"GWMP-0253","GWMP","TIDE","na",4.00,2,"Region",2019,20190510,35283,"Lonicera japonica","Sapling",4419,"Ulmus americana","Alive Leaning","Vines in the crown",1
"GWMP-0253","GWMP","TIDE","na",4.00,2,"Region",2019,20190510,18712,"Clematis terniflora","Sapling",4419,"Ulmus americana","Alive Leaning","Vines in the crown",1
"PRWI-0143","PRWI","PRWI","na",3.00,2,"Region",2015,20150618,43346,"Smilax rotundifolia","Sapling",15403,"Fagus grandifolia","Alive Standing",,0
"PRWI-0659","PRWI","PRWI","na",3.00,4,"Region",2017,20170615,43346,"Smilax rotundifolia","Sapling",9473,"Fagus grandifolia","Alive Standing",,0
"CHOH-0281","CHOH","CUMB","na",3.00,2,"Region",2015,20150824,35283,"Lonicera japonica","Sapling",15538,"Asimina triloba","Alive Standing",,1
"PRWI-0456","PRWI","PRWI","na",3.00,4,"Region",2017,20170906,43346,"Smilax rotundifolia","Sapling",14545,"Quercus alba","Alive Standing",,0
"NACE-0491","NACE","PISC","PISC",4.00,1,"Region",2018,20180711,43346,"Smilax rotundifolia","Sapling",1121,"Asimina triloba","Alive Standing",,0
"CHOH-1036","CHOH","BRUN","na",3.00,4,"Region",2017,20170628,28610,"Vitis vulpina","Sapling",20645,"Asimina triloba","Alive Standing","Vines in the crown",0
"CHOH-1036","CHOH","BRUN","na",3.00,4,"Region",2017,20170628,28602,"Parthenocissus quinquefolia","Sapling",20645,"Asimina triloba","Alive Standing","Vines in the crown",0
"GWMP-0254","GWMP","TIDE","na",4.00,2,"Region",2019,20190520,506068,"Celastrus orbiculatus","Sapling",21982,"Euonymus alatus","Alive Standing","Vines in the crown",1
"GWMP-0254","GWMP","TIDE","na",4.00,2,"Region",2019,20190520,35283,"Lonicera japonica","Sapling",21982,"Euonymus alatus","Alive Standing","Vines in the crown",1
"GWMP-0254","GWMP","TIDE","na",4.00,2,"Region",2019,20190520,28632,"Ampelopsis brevipedunculata","Sapling",21982,"Euonymus alatus","Alive Standing","Vines in the crown",1
"CHOH-0964","CHOH","WILL","na",3.00,3,"Region",2016,20160628,20914,"Polygonum perfoliatum","Sapling",22493,"Asimina triloba","Alive Standing",,1
"PRWI-0025","PRWI","PRWI","na",3.00,2,"Region",2015,20150527,43346,"Smilax rotundifolia","Retired (In Office)",15375,"Quercus falcata","Alive Standing","Vines in the crown",0
"NACE-0081","NACE","GREE","GREE",4.00,2,"Region",2019,20190604,43346,"Smilax rotundifolia","Sapling",1594,"Fagus grandifolia","Alive Standing",,0
"NACE-0107","NACE","GREE","GREE",3.00,3,"Region",2016,20160502,43346,"Smilax rotundifolia","Sapling",7405,"Liquidambar styraciflua","Alive Standing","Vines in the crown",0
"CHOH-0684","CHOH","CUMB","na",3.00,4,"Region",2017,20170829,28821,"Toxicodendron radicans","Sapling",12465,"Asimina triloba","Alive Standing",,0
"PRWI-0120","PRWI","PRWI","na",3.00,2,"Region",2015,20150618,43346,"Smilax rotundifolia","Sapling",22116,"Quercus alba","Alive Standing",,0
"NACE-0167","NACE","GREE","BAWA",3.00,4,"Region",2017,20170530,35283,"Lonicera japonica","Sapling",14607,"Fraxinus pennsylvanica","Alive Standing",,1
"CHOH-0271","CHOH","WILL","na",3.00,4,"Region",2017,20170811,28610,"Vitis vulpina","Sapling",12048,"Fraxinus americana","Alive Standing","Vines in the crown",0
"CHOH-0271","CHOH","WILL","na",3.00,4,"Region",2017,20170811,506068,"Celastrus orbiculatus","Sapling",12048,"Fraxinus americana","Alive Standing","Vines in the crown",1
"MANA-0131","MANA","MANA","na",3.00,3,"Region",2016,20160427,35283,"Lonicera japonica","Sapling",22644,"Viburnum prunifolium","Alive Standing",,1
"CHOH-1350","CHOH","POGO","na",3.00,3,"Region",2016,20160516,35283,"Lonicera japonica","Sapling",9838,"Carya glabra","Alive Standing","Vines in the crown",1
"ROCR-0079","ROCR","ROCR","FOCI",3.00,3,"Region",2016,20160701,29393,"Hedera helix","Sapling",7152,"Lonicera maackii","Alive Leaning",,1
"PRWI-0751","PRWI","PRWI","na",4.00,1,"Region",2018,20180601,28610,"Vitis vulpina","Sapling",2634,"Acer rubrum","Alive Broken","Vines in the crown",0
"CHOH-0281","CHOH","CUMB","na",4.00,2,"Region",2019,20190822,35283,"Lonicera japonica","Sapling",15546,"Crataegus crus-galli","Alive Leaning","Vines in the crown",1
"CHOH-0281","CHOH","CUMB","na",4.00,2,"Region",2019,20190822,24833,"Rosa multiflora","Sapling",15546,"Crataegus crus-galli","Alive Leaning","Vines in the crown",1
"CHOH-1388","CHOH","POGO","na",3.00,3,"Region",2016,20160425,506068,"Celastrus orbiculatus","Sapling",7647,"Asimina triloba","Alive Leaning","Vines in the crown",1
"CHOH-1388","CHOH","POGO","na",3.00,3,"Region",2016,20160425,18871,"Menispermum canadense","Sapling",7647,"Asimina triloba","Alive Leaning","Vines in the crown",0
"CHOH-0239","CHOH","WILL","na",4.00,1,"Region",2018,20180720,506068,"Celastrus orbiculatus","Sapling",25776,"Ligustrum obtusifolium","Alive Standing",,1
"CHOH-1388","CHOH","POGO","na",3.00,3,"Region",2016,20160425,506068,"Celastrus orbiculatus","Sapling",7636,"Asimina triloba","Alive Standing","Vines in the crown",1
"NACE-0713","NACE","PISC","PISC",3.00,4,"Region",2017,20170620,43346,"Smilax rotundifolia","Sapling",14385,"Vaccinium fuscatum","Alive Leaning",,0
"PRWI-0256","PRWI","PRWI","na",3.00,4,"Region",2017,20170605,43346,"Smilax rotundifolia","Sapling",9595,"Liquidambar styraciflua","Alive Leaning","Vines in the crown",0
"PRWI-0143","PRWI","PRWI","na",3.00,2,"Region",2015,20150618,43346,"Smilax rotundifolia","Sapling",6763,"Fagus grandifolia","Alive Standing",,0
"CHOH-0989","CHOH","BRUN","na",3.00,2,"Region",2015,20150709,35283,"Lonicera japonica","Sapling",5984,"Fraxinus americana","Alive Standing","Vines in the crown",1
"NACE-0623","NACE","PISC","PISC",4.00,2,"Region",2019,20190522,43346,"Smilax rotundifolia","Sapling",21958,"Ilex opaca","Alive Standing","Vines in the crown",0
"CHOH-0847","CHOH","WILL","na",3.00,4,"Region",2017,20170707,24833,"Rosa multiflora","Sapling",14282,"Quercus rubra","Alive Standing",,1
"CHOH-0281","CHOH","CUMB","na",4.00,2,"Region",2019,20190822,35283,"Lonicera japonica","Sapling",15544,"Asimina triloba","Alive Standing",,1
"ROCR-0172","ROCR","ROCR","na",3.00,2,"Region",2015,20150727,29393,"Hedera helix","Sapling",4469,"Acer rubrum","Alive Standing",,1
"PRWI-0431","PRWI","PRWI","na",3.00,2,"Region",2015,20150708,43346,"Smilax rotundifolia","Tree",6757,"Nyssa sylvatica","Alive Standing",,0
"NACE-0267","NACE","NACE","FODU",4.00,2,"Region",2019,20190613,506068,"Celastrus orbiculatus","Sapling",4959,"Carya cordiformis","Alive Leaning","Vines in the crown",1
"NACE-0267","NACE","NACE","FODU",4.00,2,"Region",2019,20190613,35283,"Lonicera japonica","Sapling",4959,"Carya cordiformis","Alive Leaning","Vines in the crown",1
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",7268,"Vaccinium fuscatum","Alive Standing",,0
"PRWI-0276","PRWI","PRWI","na",4.00,1,"Region",2018,20180605,43346,"Smilax rotundifolia","Sapling",21048,"Lyonia ligustrina","Alive Leaning","Vines in the crown",0
"ROCR-0186","ROCR","ROCR","na",3.00,2,"Region",2015,20150518,29393,"Hedera helix","Sapling",4380,"Acer negundo","Alive Standing",,1
"CATO-0092","CATO","CATO","na",3.00,3,"Region",2016,20160621,43346,"Smilax rotundifolia","Sapling",7507,"Ostrya virginiana","Alive Leaning","Vines in the crown",0
"PRWI-0741","PRWI","PRWI","na",4.00,2,"Region",2019,20190620,43346,"Smilax rotundifolia","Sapling",6696,"Fagus grandifolia","Alive Standing",,0
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",22403,"Quercus coccinea","Alive Standing",,0
"CHOH-0964","CHOH","WILL","na",3.00,3,"Region",2016,20160628,28610,"Vitis vulpina","Sapling",7575,"Cornus florida","Alive Broken",,0
"PRWI-0333","PRWI","PRWI","na",4.00,1,"Region",2018,20180613,43346,"Smilax rotundifolia","Sapling",3272,"Quercus alba","Alive Leaning",,0
"NACE-0649","NACE","PISC","PISC",3.00,3,"Region",2016,20160511,34309,"Campsis radicans","Sapling",22711,"Juniperus virginiana","Alive Standing",,0
"NACE-0649","NACE","PISC","PISC",3.00,3,"Region",2016,20160511,35283,"Lonicera japonica","Sapling",22711,"Juniperus virginiana","Alive Standing",,1
"CHOH-0281","CHOH","CUMB","na",4.00,2,"Region",2019,20190822,24833,"Rosa multiflora","Sapling",6094,"Ulmus americana","Alive Leaning",,1
"CHOH-0281","CHOH","CUMB","na",4.00,2,"Region",2019,20190822,35283,"Lonicera japonica","Sapling",6094,"Ulmus americana","Alive Leaning",,1
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",16915,"Vaccinium fuscatum","Alive Standing",,0
"HAFE-0154","HAFE","LOHE","na",4.00,1,"Region",2018,20180918,35283,"Lonicera japonica","Sapling",4010,"Ulmus americana","Alive Standing",,1
"PRWI-0707","PRWI","PRWI","na",3.00,4,"Region",2017,20170710,43346,"Smilax rotundifolia","Sapling",14999,"Vaccinium fuscatum","Alive Standing","Vines in the crown",0
"CHOH-1366","CHOH","POGO","na",3.00,4,"Region",2017,20170823,28602,"Parthenocissus quinquefolia","Sapling",9687,"Asimina triloba","Alive Standing",,0
"PRWI-0120","PRWI","PRWI","na",4.00,2,"Region",2019,20190716,43346,"Smilax rotundifolia","Sapling",10706,"Vaccinium fuscatum","Alive Standing","Vines in the crown",0
"CHOH-1388","CHOH","POGO","na",3.00,3,"Region",2016,20160425,506068,"Celastrus orbiculatus","Sapling",7626,"Asimina triloba","Alive Leaning","Vines in the crown",1
"CHOH-1388","CHOH","POGO","na",3.00,3,"Region",2016,20160425,35283,"Lonicera japonica","Sapling",7626,"Asimina triloba","Alive Leaning","Vines in the crown",1
"PRWI-0120","PRWI","PRWI","na",3.00,2,"Region",2015,20150618,43346,"Smilax rotundifolia","Sapling",6812,"Quercus alba","Alive Standing","Vines in the crown",0
"CHOH-0847","CHOH","WILL","na",3.00,4,"Region",2017,20170707,24833,"Rosa multiflora","Sapling",14287,"Asimina triloba","Alive Leaning","Vines in the crown",1
"HAFE-0240","HAFE","LOHE","na",3.00,4,"Region",2017,20170808,43346,"Smilax rotundifolia","Sapling",18193,"Hamamelis virginiana","Alive Standing",,0
"PRWI-0120","PRWI","PRWI","na",4.00,2,"Region",2019,20190716,43346,"Smilax rotundifolia","Sapling",6816,"Acer rubrum","Alive Standing",,0
"NACE-0623","NACE","PISC","PISC",4.00,2,"Region",2019,20190522,43346,"Smilax rotundifolia","Sapling",8210,"Acer rubrum","Alive Standing","Vines in the crown",0
"GWMP-0256","GWMP","TIDE","na",4.00,2,"Region",2019,20190520,35283,"Lonicera japonica","Sapling",4549,"Ilex opaca","Alive Standing","Vines in the crown",1
