"","Plot_Name","Sample_Year","Live_BA","Dead_BA","Rock_Cover","Bare_Soil_Cover","Trampled","Event_Date_Txt","Deer_Impact","Protocol_Name"
"59","CATO-0043",2017,2.01393,0.2999,"1-5","5-25","<1",20170822,2,"2.3"
"60","CATO-0043",2013,1.87727,0.30082,"1-5","5-25","1-5",20130717,3,"2.0.1"
"61","CATO-0043",2009,1.77637,NA,"<1","5-25","<1",20090918,NA,"2.0"
"62","CATO-0049",2011,1.32512,NA,"5-25","50-75","<1",20110721,NA,"2.0.1"
"63","CATO-0049",2007,1.13631,NA,"5-25","50-75","<1",20070801,NA,"1.0"
"64","CATO-0049",2015,1.46676,0.06967,"5-25","50-75","<1",20150720,4,"2.2"
"65","CATO-0049",2019,1.61161,0.05433,"5-25","25-50","<1",20190827,3,""
"66","CATO-0062",2012,1.62258,NA,"50-75","5-25","<1",20120726,NA,"2.0.1"
"67","CATO-0062",2016,1.70474,0,"50-75","5-25","<1",20160727,3,"2.2"
"68","CATO-0062",2008,1.52845,NA,"25-50","25-50","<1",20080724,NA,"1.0"
"69","CATO-0084",2019,2.32621,0.03365,"25-50","25-50","1-5",20190723,4,""
"70","CATO-0084",2015,2.23879,0.03976,"75-100","1-5","<1",20150722,4,"2.2"
"71","CATO-0084",2007,2.0912,NA,"50-75","75-100","1-5",20070808,NA,"1.0"
"72","CATO-0084",2011,2.15986,NA,"50-75","75-100","1-5",20110831,NA,"2.0.1"
"73","CATO-0086",2012,2.44345,NA,"25-50","25-50","<1",20120717,NA,"2.0.1"
"74","CATO-0086",2008,2.31448,NA,"25-50","5-25","<1",20080716,NA,"1.0"
"75","CATO-0086",2016,2.54582,0,"50-75","25-50","<1",20160728,3,"2.2"
"76","CATO-0092",2016,1.14973,0.45633,"5-25","25-50","<1",20160621,3,"2.2"
"77","CATO-0092",2012,0.96658,NA,"1-5","5-25","<1",20120927,NA,"2.0.1"
"78","CATO-0092",2008,0.74246,NA,"1-5","5-25","<1",20080922,NA,"1.0"
"79","CATO-0094",2019,1.5342,0.18711,"25-50","5-25","<1",20190802,3,""
"80","CATO-0094",2015,1.44503,0.31593,"25-50","25-50","<1",20150817,5,"2.2"
"81","CATO-0094",2011,1.40949,NA,"25-50","50-75","<1",20110801,NA,"2.0.1"
"82","CATO-0094",2007,1.46207,NA,"50-75","75-100","<1",20070829,NA,"1.0"
"83","CATO-0098",2012,1.70738,NA,"25-50","5-25","<1",20121004,NA,"2.0.1"
"84","CATO-0098",2008,1.8052,NA,"25-50","25-50","<1",20080925,NA,"1.0"
"85","CATO-0098",2016,1.505,0.47329,"50-75","5-25","<1",20160803,4,"2.2"
"86","CATO-0100",2009,3.32671,NA,"5-25","25-50","<1",20090928,NA,"2.0"
"87","CATO-0100",2013,3.22663,0.30385,"25-50","5-25","<1",20130905,3,"2.0.1"
"88","CATO-0100",2017,3.57569,0.30653,"5-25","5-25","<1",20170711,4,"2.3"
"89","CATO-0101",2016,3.64122,0,"5-25","5-25","<1",20160830,4,"2.2"
"90","CATO-0101",2008,3.45416,NA,"25-50","50-75","<1",20080910,NA,"1.0"
"91","CATO-0101",2012,3.38057,NA,"1-5","25-50","<1",20120919,NA,"2.0.1"
"92","CATO-0104",2012,1.93933,NA,"25-50","25-50","<1",20120824,NA,"2.0.1"
"93","CATO-0104",2008,1.80421,NA,"25-50","25-50","<1",20080716,NA,"1.0"
"94","CATO-0104",2016,2.03632,0,"25-50","25-50","5-25",20160727,4,"2.2"
"95","CATO-0106",2009,3.41032,NA,"50-75","75-100","<1",20090908,NA,"2.0"
"96","CATO-0106",2017,3.45987,0.34113,"5-25","25-50","<1",20170713,4,"2.3"
"97","CATO-0106",2013,3.43627,0.22683,"50-75","5-25","5-25",20130819,4,"2.0.1"
"98","CATO-0113",2013,2.96481,0.02433,"5-25","5-25","<1",20130820,4,"2.0.1"
"99","CATO-0113",2017,3.0662,0.06975,"5-25","1-5","<1",20170915,5,"2.3"
"100","CATO-0113",2009,2.79189,NA,"5-25","25-50","<1",20090929,NA,"2.0"
"101","CATO-0127",2017,1.97511,0.59094,"25-50","5-25","<1",20170915,5,"2.3"
"102","CATO-0127",2009,2.34683,NA,"25-50","25-50","<1",20090930,NA,"2.0"
"103","CATO-0127",2013,2.19269,0.63878,"25-50","5-25","<1",20130820,4,"2.0.1"
"104","CATO-0131",2009,2.78159,NA,"25-50","75-100","<1",20090925,NA,"2.0"
"105","CATO-0131",2013,2.91582,0.04337,"25-50","25-50","<1",20130905,4,"2.0.1"
"106","CATO-0131",2017,3.00239,0.04337,"5-25","5-25","<1",20170711,4,"2.3"
"107","CATO-0150",2012,1.68486,NA,"75-100","1-5","<1",20120905,NA,"2.0.1"
"108","CATO-0150",2016,1.7797,0.10203,"75-100","1-5","<1",20160830,4,"2.2"
"109","CATO-0150",2008,1.82584,NA,"75-100","1-5","<1",20080910,NA,"1.0"
"110","CATO-0156",2013,1.54803,0.06651,"25-50","1-5","<1",20130718,4,"2.0.1"
"111","CATO-0156",2017,1.73198,0.0656,"<1","1-5","<1",20170712,4,"2.3"
"112","CATO-0156",2009,1.60894,NA,"50-75","<1","<1",20090917,NA,"2.0"
"113","CATO-0158",2011,2.33053,NA,"5-25","50-75","1-5",20110801,NA,"2.0.1"
"114","CATO-0158",2015,2.36104,0.12162,"5-25","50-75","1-5",20150622,4,"2.2"
"115","CATO-0158",2019,2.44698,0.10784,"5-25","5-25","<1",20190903,4,""
"116","CATO-0158",2007,2.17748,NA,"5-25","75-100","1-5",20070717,NA,"1.0"
"117","CATO-0160",2016,2.3626,0.67746,"50-75","25-50","<1",20160725,5,"2.2"
"118","CATO-0160",2012,2.77291,NA,"25-50","75-100","<1",20120914,NA,"2.0.1"
"119","CATO-0160",2008,2.73065,NA,"25-50","75-100","<1",20080731,NA,"1.0"
"120","CATO-0176",2019,1.36579,0.19248,"25-50","5-25","<1",20190814,3,""
"121","CATO-0176",2011,1.43211,NA,"5-25","25-50","1-5",20110808,NA,"2.0.1"
"122","CATO-0176",2015,1.47685,0.05321,"25-50","25-50","<1",20150622,3,"2.2"
"123","CATO-0176",2007,1.32476,NA,"5-25","25-50","<1",20070717,NA,"1.0"
"124","CATO-0206",2019,1.66645,0.17706,"5-25","25-50","<1",20190829,4,""
"125","CATO-0206",2015,1.51658,0.40678,"5-25","50-75","<1",20150623,5,"2.2"
"126","CATO-0206",2011,1.67268,NA,"5-25","75-100","<1",20110712,NA,"2.0.1"
"127","CATO-0206",2007,1.94465,NA,"5-25","75-100","<1",20070802,NA,"1.0"
"128","CATO-0211",2007,1.8418,NA,"5-25","75-100","<1",20070726,NA,"1.0"
"129","CATO-0211",2015,1.84185,0.40589,"25-50","50-75","<1",20150624,4,"2.2"
"130","CATO-0211",2019,1.46641,0.809,"25-50","50-75","<1",20190829,4,""
"131","CATO-0211",2011,1.84933,NA,"25-50","75-100","<1",20110712,NA,"2.0.1"
"132","CATO-0217",2013,2.77157,0.34802,"5-25","75-100","<1",20130819,5,"2.0.1"
"133","CATO-0217",2009,2.62349,NA,"25-50","75-100","<1",20090908,NA,"2.0"
"134","CATO-0217",2017,2.57788,0.62349,"5-25","50-75","<1",20170713,5,"2.3"
"135","CATO-0237",2019,1.45998,0.46252,"50-75","5-25","<1",20190812,4,""
"136","CATO-0237",2015,1.63628,0.83477,"75-100","5-25","<1",20150817,4,"2.2"
"137","CATO-0237",2011,2.09418,NA,"75-100","75-100","<1",20110902,NA,"2.0.1"
"138","CATO-0237",2007,2.2802,NA,"75-100","75-100","<1",20070813,NA,"1.0"
"139","CATO-0238",2012,2.18732,NA,"25-50","75-100","<1",20120629,NA,"2.0.1"
"140","CATO-0238",2016,2.12328,0.52424,"50-75","25-50","<1",20160728,5,"2.2"
"141","CATO-0238",2008,2.58237,NA,"25-50","75-100","<1",20080917,NA,"1.0"
"142","CATO-0258",2016,1.20215,0.16289,"25-50","5-25","<1",20160622,5,"2.2"
"143","CATO-0258",2008,1.34989,NA,"25-50","5-25","<1",20080917,NA,"1.0"
"144","CATO-0258",2012,1.44363,NA,"25-50","5-25","<1",20120917,NA,"2.0.1"
"145","CATO-0268",2012,2.13506,NA,"50-75","75-100","1-5",20120921,NA,"2.0.1"
"146","CATO-0268",2016,2.26722,0.77395,"50-75","25-50","5-25",20160907,5,"2.2"
"147","CATO-0268",2008,2.01136,NA,"50-75","75-100","<1",20080717,NA,"1.0"
"148","CATO-0271",2016,1.19656,0.74114,"5-25","5-25","1-5",20160815,4,"2.2"
"149","CATO-0271",2008,1.89384,NA,"1-5","5-25","<1",20080922,NA,"1.0"
"150","CATO-0271",2012,1.01044,NA,"1-5","<1","<1",20120924,NA,"2.0.1"
"151","CATO-0275",2011,1.75111,NA,"50-75","50-75","<1",20110720,NA,"2.0.1"
"152","CATO-0275",2019,1.26246,0.17851,"50-75","<1","<1",20190809,4,""
"153","CATO-0275",2007,1.6862,NA,"50-75","50-75","<1",20070829,NA,"1.0"
"154","CATO-0275",2015,1.53401,0.03597,"25-50","<1","<1",20150729,5,"2.2"
"155","CATO-0280",2012,1.97021,NA,"5-25","1-5","<1",20120827,NA,"2.0.1"
"156","CATO-0280",2008,1.90969,NA,"25-50","5-25","<1",20080703,NA,"1.0"
"157","CATO-0280",2016,2.0945,0.31356,"50-75","5-25","<1",20160617,4,"2.2"
"158","CATO-0294",2018,2.02229,1.40454,"5-25","5-25","5-25",20180820,4,"2.3"
"159","CATO-0294",2006,3.06374,NA,"5-25","5-25","<1",20060802,NA,"1.0"
"160","CATO-0294",2014,2.27376,1.13099,"5-25","1-5","5-25",20140723,4,"2.1"
"161","CATO-0294",2010,2.65623,NA,"25-50","1-5","<1",20100706,NA,"2.0.1"
"162","CATO-0302",2012,2.58179,NA,"5-25","50-75","<1",20120827,NA,"2.0.1"
"163","CATO-0302",2008,3.11861,NA,"5-25","75-100","<1",20080912,NA,"1.0"
"164","CATO-0302",2016,2.73305,0.4852,"5-25","50-75","<1",20160617,5,"2.2"
"165","CATO-0303",2018,2.21312,0.12504,"1-5","50-75","<1",20180702,4,"2.3"
"166","CATO-0303",2006,1.84254,NA,"1-5","1-5","<1",20060802,NA,"1.0"
"167","CATO-0303",2010,2.08115,NA,"1-5","75-100","<1",20100707,NA,"2.0.1"
"168","CATO-0303",2014,2.11551,0.04948,"1-5","75-100","1-5",20140723,4,"2.1"
"169","CATO-0311",2015,2.36994,0,"5-25","5-25","<1",20150811,5,"2.2"
"170","CATO-0311",2019,1.60504,0.1571,"5-25","1-5","1-5",20190731,4,""
"171","CATO-0311",2007,2.31211,NA,"1-5","50-75","<1",20070723,NA,"1.0"
"172","CATO-0311",2011,2.16591,NA,"5-25","50-75","1-5",20110930,NA,"2.0.1"
"173","CATO-0313",2019,1.56028,0.02788,"1-5","75-100","25-50",20190731,5,""
"174","CATO-0313",2015,1.52426,0.00985,"1-5","75-100","5-25",20150811,5,"2.2"
"175","CATO-0313",2011,1.43759,NA,"1-5","75-100","<1",20110930,NA,"2.0.1"
"176","CATO-0313",2007,1.47241,NA,"1-5","75-100","5-25",20070723,NA,"1.0"
"177","CATO-0316",2011,2.71992,NA,"25-50","75-100","<1",20110722,NA,"2.0.1"
"178","CATO-0316",2007,2.61011,NA,"25-50","75-100","<1",20070813,NA,"1.0"
"179","CATO-0316",2019,2.74468,0.41112,"25-50","25-50","<1",20190815,4,""
"180","CATO-0316",2015,2.86226,0.11217,"25-50","50-75","<1",20150623,5,"2.2"
"181","CATO-0330",2018,1.69069,0.44873,"25-50","25-50","<1",20180807,5,"2.3"
"182","CATO-0330",2006,1.89885,NA,"50-75","1-5","<1",20060719,NA,"1.0"
"183","CATO-0330",2010,2.01544,NA,"50-75","75-100","<1",20100806,NA,"2.0.1"
"184","CATO-0330",2014,1.84369,0.44722,"25-50","25-50","<1",20140811,4,"2.1"
"185","CATO-0331",2006,2.18999,NA,"25-50","<1","<1",20060719,NA,"1.0"
"186","CATO-0331",2010,2.30262,NA,"5-25","75-100","<1",20100810,NA,"2.0.1"
"187","CATO-0331",2018,2.52261,0.05067,"5-25","75-100","1-5",20180618,5,"2.3"
"188","CATO-0331",2014,2.44244,0,"5-25","75-100","<1",20140811,5,"2.1"
"189","CATO-0333",2016,1.90508,0.07238,"5-25","75-100","1-5",20160622,5,"2.2"
"190","CATO-0333",2012,1.79331,NA,"1-5","75-100","<1",20120817,NA,"2.0.1"
"191","CATO-0333",2008,1.71765,NA,"5-25","75-100","<1",20080703,NA,"1.0"
"192","CATO-0346",2018,3.05384,1.1205,"50-75","25-50","<1",20180807,4,"2.3"
"193","CATO-0346",2014,2.91315,1.19264,"75-100","5-25","<1",20140908,5,"2.1"
"194","CATO-0346",2010,2.78406,NA,"50-75","75-100","<1",20100804,NA,"2.0.1"
"195","CATO-0346",2006,3.76256,NA,"50-75","<1","<1",20060804,NA,"1.0"
"196","CATO-0347",2019,2.38373,0.14711,"25-50","50-75","<1",20190805,4,""
"197","CATO-0347",2015,2.40043,0.13611,"25-50","50-75","<1",20150812,5,"2.2"
"198","CATO-0347",2011,2.31918,NA,"5-25","75-100","<1",20110803,NA,"2.0.1"
"199","CATO-0347",2007,2.12343,NA,"5-25","75-100","<1",20070913,NA,"1.0"
"200","CATO-0359",2010,1.68012,NA,"5-25","75-100","<1",20100805,NA,"2.0.1"
"201","CATO-0359",2006,1.80375,NA,"5-25","<1","<1",20060804,NA,"1.0"
"202","CATO-0359",2014,1.82479,0.47416,"1-5","50-75","<1",20140908,5,"2.1"
"203","CATO-0359",2018,1.57626,0.48784,"5-25","50-75","<1",20180810,5,"2.3"
"204","CATO-0365",2010,2.21963,NA,"25-50","75-100","<1",20100708,NA,"2.0.1"
"205","CATO-0365",2006,2.24177,NA,"25-50","<1","<1",20060803,NA,"1.0"
"206","CATO-0365",2018,2.28109,0.25685,"25-50","50-75","1-5",20180810,5,"2.3"
"207","CATO-0365",2014,2.11728,0.52529,"25-50","50-75","<1",20140819,5,"2.1"
"208","CHOH-0006",2010,1.24208,NA,"<1","25-50","<1",20100913,NA,"2.0.1"
"209","CHOH-0006",2018,1.00685,0.01003,"<1","1-5","1-5",20180920,4,"2.3"
"210","CHOH-0006",2014,0.91169,0.48695,"<1","5-25","1-5",20140806,4,"2.1"
"211","CHOH-0006",2006,1.12608,NA,"1-5","<1","1-5",20061002,NA,"1.0"
"212","CHOH-0015",2017,1.55857,0.28115,"<1","<1","<1",20170921,5,"2.3"
"213","CHOH-0015",2009,1.63768,NA,"<1","<1","<1",20090922,NA,"2.0"
"214","CHOH-0015",2013,1.61654,0.16265,"<1","<1","<1",20130812,4,"2.0.1"
"215","CHOH-0026",2014,3.67382,0,"<1","75-100","<1",20140806,4,"2.1"
"216","CHOH-0026",2010,3.50076,NA,"<1","75-100","<1",20100907,NA,"2.0.1"
"217","CHOH-0026",2018,3.41396,0.42892,"<1","75-100","<1",20180615,4,"2.3"
"218","CHOH-0026",2006,3.25545,NA,"<1","5-25","1-5",20061002,NA,"1.0"
"219","CHOH-0069",2017,1.61129,0.13607,"<1","1-5","<1",20170825,2,"2.3"
"220","CHOH-0069",2013,1.47353,0.12203,"<1","1-5","1-5",20130814,3,"2.0.1"
"221","CHOH-0069",2009,1.43936,NA,"<1","1-5","1-5",20090921,NA,"2.0"
"222","CHOH-0075",2013,0.80915,0,"1-5","1-5","25-50",20130906,2,"2.0.1"
"223","CHOH-0075",2009,0.63706,NA,"<1","25-50","<1",20090810,NA,"2.0"
"224","CHOH-0075",2017,1.01094,0,"<1","5-25","1-5",20170911,3,"2.3"
"225","CHOH-0102",2018,1.76111,0.13582,"<1","5-25","1-5",20180731,4,"2.3"
"226","CHOH-0102",2014,1.61483,0.22886,"<1","1-5","<1",20140808,4,"2.1"
"227","CHOH-0102",2006,1.65584,NA,"<1","<1","<1",20061003,NA,"1.0"
"228","CHOH-0102",2010,1.7517,NA,"<1","5-25","<1",20100909,NA,"2.0.1"
"229","CHOH-0239",2018,1.96974,0.677,"<1","1-5","<1",20180720,4,"2.3"
"230","CHOH-0239",2014,1.94728,0.65421,"<1","1-5","<1",20140821,4,"2.1"
"231","CHOH-0239",2006,1.84665,NA,"<1","<1","<1",20061003,NA,"1.0"
"232","CHOH-0239",2010,1.89981,NA,"<1","25-50","<1",20100923,NA,"2.0.1"
"233","CHOH-0247",2008,1.53418,NA,"5-25","1-5","1-5",20080821,NA,"1.0"
"234","CHOH-0247",2016,1.68634,0.23113,"1-5","5-25","1-5",20160623,4,"2.2"
"235","CHOH-0247",2012,1.60344,NA,"1-5","1-5","1-5",20121003,NA,"2.0.1"
"236","CHOH-0256",2012,2.29624,NA,"<1","25-50","1-5",20120808,NA,"2.0.1"
"237","CHOH-0256",2008,2.41778,NA,"<1","50-75","<1",20080826,NA,"1.0"
"238","CHOH-0256",2016,2.20888,0.36215,"<1","25-50","1-5",20160714,4,"2.2"
"239","CHOH-0262",2006,2.30578,NA,"<1","<1","<1",20061003,NA,"1.0"
"240","CHOH-0262",2010,2.41595,NA,"1-5","5-25","<1",20100923,NA,"2.0.1"
"241","CHOH-0262",2018,2.53284,0.16311,"1-5","5-25","1-5",20180718,4,"2.3"
"242","CHOH-0262",2014,2.59654,0,"1-5","1-5","<1",20140821,4,"2.1"
"243","CHOH-0265",2009,1.69582,NA,"<1","1-5","1-5",20090915,NA,"2.0"
"244","CHOH-0265",2013,1.85025,0.075,"1-5","1-5","<1",20130828,4,"2.0.1"
"245","CHOH-0265",2017,1.82665,0.29806,"<1","5-25","<1",20170816,2,"2.3"
"246","CHOH-0269",2009,2.21271,NA,"<1","1-5","1-5",20090915,NA,"2.0"
"247","CHOH-0269",2013,2.35314,0.11319,"<1","1-5","<1",20130910,4,"2.0.1"
"248","CHOH-0269",2017,2.6369,0.17233,"<1","5-25","<1",20170815,2,"2.3"
"249","CHOH-0271",2013,1.00234,0,"<1","1-5","<1",20130911,3,"2.0.1"
"250","CHOH-0271",2017,1.22894,0.02932,"<1","1-5","1-5",20170811,3,"2.3"
"251","CHOH-0271",2009,0.84478,NA,"<1","<1","<1",20090924,NA,"2.0"
"252","CHOH-0281",2011,1.7814,NA,"<1","<1","<1",20110817,NA,"2.0.1"
"253","CHOH-0281",2015,1.81116,0.18324,"<1","1-5","<1",20150824,3,"2.2"
"254","CHOH-0281",2007,1.67829,NA,"<1","1-5","1-5",20070815,NA,"1.0"
"255","CHOH-0281",2019,1.69166,0.27109,"<1","5-25","1-5",20190822,3,""
"256","CHOH-0380",2008,3.78254,NA,"<1","5-25","<1",20080811,NA,"1.0"
"257","CHOH-0380",2016,3.37786,0.08762,"<1","1-5","<1",20160715,5,"2.2"
"258","CHOH-0380",2012,3.73552,NA,"<1","1-5","<1",20120920,NA,"2.0.1"
"259","CHOH-0403",2012,1.7994,NA,"<1","1-5","<1",20120928,NA,"2.0.1"
"260","CHOH-0403",2008,1.73723,NA,"<1","5-25","<1",20080911,NA,"1.0"
"261","CHOH-0403",2016,1.84686,0.1834,"<1","<1","1-5",20160616,4,"2.2"
"262","CHOH-0440",2018,2.57359,0.46017,"<1","5-25","1-5",20180712,4,"2.3"
"263","CHOH-0440",2010,2.33958,NA,"<1","1-5","<1",20100909,NA,"2.0.1"
"264","CHOH-0440",2006,2.1418,NA,"<1","<1","<1",20060927,NA,"1.0"
"265","CHOH-0440",2014,2.48628,0.44171,"1-5","1-5","1-5",20140721,4,"2.1"
"266","CHOH-0443",2006,1.43425,NA,"5-25","<1","<1",20060808,NA,"1.0"
"267","CHOH-0443",2014,1.61065,0.00801,"25-50","5-25","1-5",20140808,4,"2.1"
"268","CHOH-0443",2010,1.50547,NA,"1-5","50-75","<1",20100812,NA,"2.0.1"
"269","CHOH-0443",2018,1.61978,0.05423,"1-5","25-50","1-5",20180823,4,"2.3"
"270","CHOH-0488",2013,0.76765,0.2667,"1-5","25-50","<1",20130814,3,"2.0.1"
"271","CHOH-0488",2017,0.7832,0.19672,"<1","5-25","<1",20170830,4,"2.3"
"272","CHOH-0488",2009,1.01475,NA,"1-5","25-50","<1",20090821,NA,"2.0"
"273","CHOH-0489",2011,1.82567,NA,"1-5","75-100","1-5",20110816,NA,"2.0.1"
"274","CHOH-0489",2019,1.81242,0.41251,"<1","25-50","<1",20190822,5,""
"275","CHOH-0489",2007,1.91129,NA,"1-5","75-100","1-5",20070815,NA,"1.0"
"276","CHOH-0489",2015,1.89966,0.25502,"<1","25-50","<1",20150825,4,"2.2"
"277","CHOH-0539",2006,1.39207,NA,"<1","<1","<1",20060807,NA,"1.0"
"278","CHOH-0539",2010,1.65669,NA,"<1","1-5","1-5",20100811,NA,"2.0.1"
"279","CHOH-0539",2018,2.1834,0,"<1","<1","1-5",20180824,4,"2.3"
"280","CHOH-0539",2014,1.95265,0,"<1","<1","1-5",20140807,4,"2.1"
"281","CHOH-0577",2010,1.41784,NA,"1-5","75-100","<1",20100811,NA,"2.0.1"
"282","CHOH-0577",2018,1.51256,0.13263,"<1","50-75","1-5",20180823,5,"2.3"
"283","CHOH-0577",2006,1.29338,NA,"1-5","<1","<1",20060808,NA,"1.0"
"284","CHOH-0577",2014,1.42686,0.12455,"<1","75-100","<1",20140807,4,"2.1"
"285","CHOH-0586",2016,1.47357,0.03306,"1-5","<1","5-25",20160714,4,"2.2"
"286","CHOH-0586",2008,1.19865,NA,"5-25","1-5","<1",20080827,NA,"1.0"
"287","CHOH-0586",2012,1.35797,NA,"5-25","1-5","1-5",20120809,NA,"2.0.1"
"288","CHOH-0679",2019,0.61229,0.01057,"<1","<1","<1",20190823,5,""
"289","CHOH-0679",2007,0.48617,NA,"<1","1-5","<1",20070816,NA,"1.0"
"290","CHOH-0679",2011,0.54811,NA,"<1","1-5","<1",20110816,NA,"2.0.1"
"291","CHOH-0679",2015,0.5862,0.06335,"<1","1-5","<1",20150826,5,"2.2"
"292","CHOH-0684",2013,0.55145,0,"<1","1-5","1-5",20130813,3,"2.0.1"
"293","CHOH-0684",2017,0.68911,0.02835,"<1","1-5","1-5",20170829,3,"2.3"
"294","CHOH-0684",2009,0.42504,NA,"<1","1-5","<1",20090820,NA,"2.0"
"295","CHOH-0741",2009,2.3081,NA,"5-25","1-5","<1",20090820,NA,"2.0"
